"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality"
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,"Low"
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,"Low"
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,"Low"
7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,"Low"
6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,"Low"
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,"Low"
7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,"Low"
6.6,0.61,0,1.6,0.069,4,8,0.99396,3.33,0.37,10.4,"Low"
12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,"Low"
7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,"Low"
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,"Low"
5.6,0.62,0.03,1.5,0.08,6,13,0.99498,3.66,0.62,10.1,"Low"
7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,"Low"
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,"Low"
8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,"Low"
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,"Low"
6.5,0.58,0,2.2,0.096,3,13,0.99557,3.62,0.62,11.5,"Low"
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,"Low"
12,0.63,0.5,1.4,0.071,6,26,0.99791,3.07,0.6,10.4,"Low"
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,"Low"
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,"Low"
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,"Low"
8.3,0.845,0.01,2.2,0.07,5,14,0.9967,3.32,0.58,11,"Low"
6.2,0.785,0,2.1,0.06,6,13,0.99664,3.59,0.61,10,"Low"
7.5,1.115,0.1,3.1,0.086,5,12,0.9958,3.54,0.6,11.2,"Low"
10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,"Low"
7.2,0.58,0.54,2.1,0.114,3,9,0.99719,3.33,0.57,10.3,"Low"
7.1,0.47,0,2.2,0.067,7,14,0.99517,3.4,0.58,10.9,"Low"
6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,"Low"
11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,"Low"
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,"Low"
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,"Low"
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,"Low"
8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,"Low"
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,"Low"
8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,"Low"
6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,"Low"
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,"Low"
10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,"Low"
7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,"Low"
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,"Low"
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,"Low"
7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,"Low"
11.6,0.47,0.44,1.6,0.147,36,51,0.99836,3.38,0.86,9.9,"Low"
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,"Low"
7.3,0.55,0.03,1.6,0.072,17,42,0.9956,3.37,0.48,9,"Low"
8.4,0.67,0.19,2.2,0.093,11,75,0.99736,3.2,0.59,9.2,"Low"
6.5,0.67,0,4.3,0.057,11,20,0.99488,3.45,0.56,11.8,"Low"
6.5,0.88,0.03,5.6,0.079,23,47,0.99572,3.58,0.5,11.2,"Low"
5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,"Low"
8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,"Low"
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,"Low"
7.6,0.68,0.02,1.3,0.072,9,20,0.9965,3.17,1.08,9.2,"Low"
7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,"Low"
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,"Low"
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,"Low"
7.3,0.35,0.24,2,0.067,28,48,0.99576,3.43,0.54,10,"Low"
10.1,0.935,0.22,3.4,0.105,11,86,1.001,3.43,0.64,11.3,"Low"
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,"Low"
8.8,0.61,0.3,2.8,0.088,17,46,0.9976,3.26,0.51,9.3,"Low"
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,"Low"
10.5,0.59,0.49,2.1,0.07,14,47,0.9991,3.3,0.56,9.6,"Low"
8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,"Low"
6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,"Low"
6.9,0.39,0.24,2.1,0.102,4,7,0.99462,3.44,0.58,11.4,"Low"
7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,"Low"
7.1,0.84,0.02,4.4,0.096,5,13,0.997,3.41,0.57,11,"Low"
7.1,0.875,0.05,5.7,0.082,3,14,0.99808,3.4,0.52,10.2,"Low"
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,"Low"
