"citric_acid","residual_sugar","density","pH","sulphates","alcohol","quality"
0,2.2,0.99517,3.4,0.58,10.9,"Low"
0,2.2,0.99557,3.62,0.62,11.5,"Low"
0.04,1.4,0.9938,3.75,0.48,10.5,"Low"
0.2,1.9,0.99585,3.39,0.43,9.05,"Low"
0,2.1,0.99476,3.5,0.4,10.9,"Low"
0.5,1.4,0.99791,3.07,0.6,10.4,"Low"
0.2,1.9,0.99585,3.39,0.43,9.05,"Low"
0,4.25,0.9966,3.63,0.54,10.7,"Low"
0.26,2.1,0.9976,3.31,0.53,9.2,"Low"
0.06,2.1,0.9948,3.51,0.43,11.4,"Low"
0.07,2.5,0.99632,3.38,0.55,10.9,"Low"
0,2,0.99437,3.59,0.55,11.2,"Low"
0.02,1.3,0.9965,3.17,1.08,9.2,"Low"
0.08,4.4,0.9974,3.38,0.5,9,"Low"
0.24,2.1,0.99462,3.44,0.58,11.4,"Low"
0.08,4.4,0.9974,3.38,0.5,9,"Low"
0.01,2.2,0.9967,3.32,0.58,11,"Low"
0.04,1.6,0.998,3.29,0.54,9.7,"Low"
0.09,1.5,0.994,3.5,0.48,9.8,"Low"
0.3,2.8,0.9976,3.26,0.51,9.3,"Low"
0.36,2,0.99745,3.31,0.57,10.4,"Low"
0.09,3.9,0.99524,3.41,0.52,11.1,"Low"
0.04,1.6,0.998,3.29,0.54,9.7,"Low"
0.09,3.9,0.9968,3.5,0.67,11,"Low"
0.05,1.8,0.99616,3.3,0.44,9.6,"Low"
0.08,2.3,0.99648,3.52,0.57,11,"Low"
0,1.9,0.99672,3.34,0.49,9.7,"Low"
0,2.5,0.99798,3.38,0.46,9.6,"Low"
1,3.4,0.9996,2.74,2,9.4,"Low"
0.26,2.1,0.9976,3.31,0.53,9.2,"Low"
0.06,2,0.99592,3.53,0.64,10.9,"Low"
0.1,3.1,0.9958,3.54,0.6,11.2,"Low"
0.05,5.7,0.99808,3.4,0.52,10.2,"Low"
0,1.2,0.99471,3.32,0.51,9.8,"Low"
