"drivers","front-seat passengers","rear-seat passengers","date"
1687,867,269,"196901"
1508,825,265,"196902"
1507,806,319,"196903"
1385,814,407,"196904"
1632,991,454,"196905"
1511,945,427,"196906"
1559,1004,522,"196907"
1630,1091,536,"196908"
1579,958,405,"196909"
1653,850,437,"196910"
2152,1109,434,"196911"
2148,1113,437,"196912"
1752,925,316,"197001"
1765,903,311,"197002"
1717,1006,351,"197003"
1558,892,362,"197004"
1575,990,486,"197005"
1520,866,429,"197006"
1805,1095,551,"197007"
1800,1204,646,"197008"
1719,1029,456,"197009"
2008,1147,475,"197010"
2242,1171,456,"197011"
2478,1299,468,"197012"
2030,944,356,"197101"
1655,874,271,"197102"
1693,840,354,"197103"
1623,893,427,"197104"
1805,1007,465,"197105"
1746,973,440,"197106"
1795,1097,539,"197107"
1926,1194,646,"197108"
1619,988,457,"197109"
1992,1077,446,"197110"
2233,1045,402,"197111"
2192,1115,441,"197112"
2080,1005,359,"197201"
1768,857,334,"197202"
1835,879,312,"197203"
1569,887,427,"197204"
1976,1075,434,"197205"
1853,1121,486,"197206"
1965,1190,569,"197207"
1689,1058,523,"197208"
1778,939,418,"197209"
1976,1074,452,"197210"
2397,1089,462,"197211"
2654,1208,497,"197212"
2097,903,354,"197301"
1963,916,347,"197302"
1677,787,276,"197303"
1941,1114,472,"197304"
2003,1014,487,"197305"
1813,1022,505,"197306"
2012,1114,619,"197307"
1912,1132,640,"197308"
2084,1111,559,"197309"
2080,1008,453,"197310"
2118,916,418,"197311"
2150,992,419,"197312"
1608,731,262,"197401"
1503,665,299,"197402"
1548,724,303,"197403"
1382,744,401,"197404"
1731,910,413,"197405"
1798,883,426,"197406"
1779,900,516,"197407"
1887,1057,600,"197408"
2004,1076,459,"197409"
2077,919,443,"197410"
2092,920,412,"197411"
2051,953,400,"197412"
1577,664,278,"197501"
1356,607,302,"197502"
1652,777,381,"197503"
1382,633,279,"197504"
1519,791,442,"197505"
1421,790,409,"197506"
1442,803,416,"197507"
1543,884,511,"197508"
1656,769,393,"197509"
1561,732,345,"197510"
1905,859,391,"197511"
2199,994,470,"197512"
1473,704,266,"197601"
1655,684,312,"197602"
1407,671,300,"197603"
1395,643,373,"197604"
1530,771,412,"197605"
1309,644,322,"197606"
1526,828,458,"197607"
1327,748,427,"197608"
1627,767,346,"197609"
1748,825,421,"197610"
1958,810,344,"197611"
2274,986,370,"197612"
1648,714,291,"197701"
1401,567,224,"197702"
1411,616,266,"197703"
1403,678,338,"197704"
1394,742,298,"197705"
1520,840,386,"197706"
1528,888,479,"197707"
1643,852,473,"197708"
1515,774,332,"197709"
1685,831,391,"197710"
2000,889,370,"197711"
2215,1046,431,"197712"
1956,889,366,"197801"
1462,626,250,"197802"
1563,808,355,"197803"
1459,746,304,"197804"
1446,754,379,"197805"
1622,865,440,"197806"
1657,980,500,"197807"
1638,959,511,"197808"
1643,856,384,"197809"
1683,798,366,"197810"
2050,942,432,"197811"
2262,1010,390,"197812"
1813,796,306,"197901"
1445,643,232,"197902"
1762,794,342,"197903"
1461,750,329,"197904"
1556,809,394,"197905"
1431,716,355,"197906"
1427,851,385,"197907"
1554,931,463,"197908"
1645,834,453,"197909"
1653,762,373,"197910"
2016,880,401,"197911"
2207,1077,466,"197912"
1665,748,306,"198001"
1361,593,263,"198002"
1506,720,323,"198003"
1360,646,310,"198004"
1453,765,424,"198005"
1522,820,403,"198006"
1460,807,406,"198007"
1552,885,466,"198008"
1548,803,381,"198009"
1827,860,369,"198010"
1737,825,378,"198011"
1941,911,392,"198012"
1474,704,284,"198101"
1458,691,316,"198102"
1542,688,321,"198103"
1404,714,358,"198104"
1522,814,378,"198105"
1385,736,382,"198106"
1641,876,433,"198107"
1510,829,506,"198108"
1681,818,428,"198109"
1938,942,479,"198110"
1868,782,370,"198111"
1726,823,349,"198112"
1456,595,238,"198201"
1445,673,285,"198202"
1456,660,324,"198203"
1365,676,346,"198204"
1487,755,410,"198205"
1558,815,411,"198206"
1488,867,496,"198207"
1684,933,534,"198208"
1594,798,396,"198209"
1850,950,470,"198210"
1998,825,385,"198211"
2079,911,411,"198212"
1494,619,281,"198301"
1057,426,300,"198302"
1218,475,318,"198303"
1168,556,391,"198304"
1236,559,398,"198305"
1076,483,337,"198306"
1174,587,477,"198307"
1139,615,422,"198308"
1427,618,495,"198309"
1487,662,471,"198310"
1483,519,368,"198311"
1513,585,345,"198312"
1357,483,296,"198401"
1165,434,319,"198402"
1282,513,349,"198403"
1110,548,375,"198404"
1297,586,441,"198405"
1185,522,465,"198406"
1222,601,472,"198407"
1284,644,521,"198408"
1444,643,429,"198409"
1575,641,408,"198410"
1737,711,490,"198411"
1763,721,491,"198412"
