content,quality,value
alcohol,Low,0.35625
alcohol,Medium,0.316502976
alcohol,High,0.535803571
sulphates,Low,0.157664671
sulphates,Medium,0.190928144
sulphates,High,0.251526946
pH,Low,0.516299213
pH,Medium,0.454763779
pH,High,0.43980315
density,Low,0.502762712
density,Medium,0.530919492
density,High,0.464012712
chlorides,Low,0.09215035
chlorides,Medium,0.083828671
chlorides,High,0.067106643
residual.sugar,Low,0.127797203
residual.sugar,Medium,0.089737762
residual.sugar,High,0.11263986
citric.acid,Low,0.16985
citric.acid,Medium,0.2436
citric.acid,High,0.36285
volatile.acidity,Low,0.417106164
volatile.acidity,Medium,0.301061644
volatile.acidity,High,0.194537671
fixed.acidity,Low,0.304134615
fixed.acidity,Medium,0.356346154
fixed.acidity,High,0.413028846
